00:00:02.030, down, strong
00:00:02.397, down, strong
00:00:02.755, down, strong
00:00:02.936, up, weak
00:00:03.112, down, strong
00:00:03.274, up, weak
00:00:03.632, up, strong
00:00:03.818, down, weak
00:00:04.181, down, strong
00:00:04.362, up, weak
00:00:04.553, down, strong
00:00:04.715, up, weak
00:00:04.896, down, strong
00:00:05.258, down, strong
00:00:05.606, down, strong
00:00:05.791, up, weak
00:00:05.963, down, strong
00:00:06.129, up, weak
00:00:06.477, up, strong
00:00:06.668, down, weak
00:00:07.026, down, strong
00:00:07.207, up, weak
00:00:07.398, down, strong
00:00:07.570, up, strong
