Monitoring judge processing. Press enter to quit.
Judge | input 330 block/s | processed 330 block/s | backlog 0 | dropped 0
Judge | input 379 block/s | processed 379 block/s | backlog 0 | dropped 0
Judge | input 382 block/s | processed 379 block/s | backlog 3 | dropped 0
Judge | input 376 block/s | processed 379 block/s | backlog 0 | dropped 0
Judge | input 381 block/s | processed 378 block/s | backlog 3 | dropped 0
Judge | input 380 block/s | processed 383 block/s | backlog 0 | dropped 0
Judge | input 379 block/s | processed 379 block/s | backlog 0 | dropped 0
Judge | input 378 block/s | processed 375 block/s | backlog 3 | dropped 0
Judge | input 379 block/s | processed 382 block/s | backlog 0 | dropped 0
Judge | input 379 block/s | processed 379 block/s | backlog 0 | dropped 0
Judge | input 379 block/s | processed 379 block/s | backlog 0 | dropped 0
Judge | input 378 block/s | processed 378 block/s | backlog 0 | dropped 0
Judge | input 379 block/s | processed 379 block/s | backlog 0 | dropped 0
Judge | input 379 block/s | processed 379 block/s | backlog 0 | dropped 0
Judge | input 379 block/s | processed 379 block/s | backlog 0 | dropped 0
Judge | input 378 block/s | processed 378 block/s | backlog 0 | dropped 0
Judge | input 379 block/s | processed 379 block/s | backlog 0 | dropped 0
Judge | input 379 block/s | processed 379 block/s | backlog 0 | dropped 0
Judge | input 381 block/s | processed 379 block/s | backlog 2 | dropped 0
Judge | input 378 block/s | processed 378 block/s | backlog 2 | dropped 0
Judge | input 377 block/s | processed 379 block/s | backlog 0 | dropped 0
Judge | input 380 block/s | processed 379 block/s | backlog 1 | dropped 0
Judge | input 381 block/s | processed 382 block/s | backlog 0 | dropped 0
Judge | input 379 block/s | processed 379 block/s | backlog 0 | dropped 0
Judge | input 379 block/s | processed 379 block/s | backlog 0 | dropped 0
Judge | input 379 block/s | processed 379 block/s | backlog 0 | dropped 0
Judge | input 378 block/s | processed 378 block/s | backlog 0 | dropped 0
Judge | input 383 block/s | processed 383 block/s | backlog 0 | dropped 0
Judge | input 375 block/s | processed 375 block/s | backlog 0 | dropped 0
Judge | input 382 block/s | processed 382 block/s | backlog 0 | dropped 0
Judge | input 379 block/s | processed 375 block/s | backlog 4 | dropped 0
Judge | input 375 block/s | processed 379 block/s | backlog 0 | dropped 0
Judge | input 379 block/s | processed 379 block/s | backlog 0 | dropped 0
Judge | input 375 block/s | processed 375 block/s | backlog 0 | dropped 0
Judge | input 379 block/s | processed 379 block/s | backlog 0 | dropped 0
Judge | input 375 block/s | processed 375 block/s | backlog 0 | dropped 0
Judge | input 382 block/s | processed 382 block/s | backlog 0 | dropped 0
Judge | input 374 block/s | processed 371 block/s | backlog 3 | dropped 0
Judge | input 376 block/s | processed 379 block/s | backlog 0 | dropped 0
Judge | input 383 block/s | processed 383 block/s | backlog 0 | dropped 0
Judge | input 375 block/s | processed 375 block/s | backlog 0 | dropped 0
Judge | input 375 block/s | processed 375 block/s | backlog 0 | dropped 0
Judge | input 378 block/s | processed 378 block/s | backlog 0 | dropped 0
Judge | input 379 block/s | processed 375 block/s | backlog 4 | dropped 0
Judge | input 379 block/s | processed 383 block/s | backlog 0 | dropped 0
Judge | input 379 block/s | processed 379 block/s | backlog 0 | dropped 0
Judge | input 371 block/s | processed 371 block/s | backlog 0 | dropped 0
Judge | input 382 block/s | processed 382 block/s | backlog 0 | dropped 0
Judge | input 379 block/s | processed 379 block/s | backlog 0 | dropped 0
Judge | input 371 block/s | processed 371 block/s | backlog 0 | dropped 0
Judge | input 383 block/s | processed 383 block/s | backlog 0 | dropped 0
Judge | input 379 block/s | processed 379 block/s | backlog 0 | dropped 0
Judge | input 378 block/s | processed 378 block/s | backlog 0 | dropped 0
Judge | input 379 block/s | processed 379 block/s | backlog 0 | dropped 0
Judge | input 379 block/s | processed 379 block/s | backlog 0 | dropped 0
Judge | input 382 block/s | processed 382 block/s | backlog 0 | dropped 0
Judge | input 379 block/s | processed 379 block/s | backlog 0 | dropped 0
Judge | input 379 block/s | processed 379 block/s | backlog 0 | dropped 0
Judge | input 382 block/s | processed 382 block/s | backlog 0 | dropped 0
Judge | input 379 block/s | processed 379 block/s | backlog 0 | dropped 0
Judge | input 382 block/s | processed 379 block/s | backlog 3 | dropped 0
Judge | input 379 block/s | processed 382 block/s | backlog 0 | dropped 0
Judge | input 379 block/s | processed 379 block/s | backlog 0 | dropped 0
Judge | input 383 block/s | processed 383 block/s | backlog 0 | dropped 0
Judge | input 378 block/s | processed 378 block/s | backlog 0 | dropped 0
Judge | input 379 block/s | processed 379 block/s | backlog 0 | dropped 0
Judge | input 383 block/s | processed 383 block/s | backlog 0 | dropped 0
Judge | input 378 block/s | processed 378 block/s | backlog 0 | dropped 0
Judge | input 381 block/s | processed 379 block/s | backlog 2 | dropped 0
